Rec_Id,speaker,timestamp,utterance,annotation,source,utterance_length,Game_ID,voted_for,end_role,votes_target,winner
83,hunter,03:45,If the other one's not incentive...,No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
87,hunter,03:57,"Wait, I could do that for you.",No Strategy,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
90,hunter,04:01,Count for me?,Interrogation,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
92,hunter,04:03,"Yeah. Okay. 3, 2, 1.",No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
93,hunter,04:05,Joe.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
95,hunter,04:06,Joe Mama.,Defense,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
103,hunter,04:29,"Hey guys, can you fill out the following form?",No Strategy,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
107,hunter,00:01,"Oh, is that so?",Interrogation,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
110,hunter,00:12,"Although, it changes subjects.",No Strategy,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
112,hunter,00:15,What?,Interrogation,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
117,hunter,00:20,"Well, one of them are lying or no. Well, what are all the rules?",Accusation,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
117,hunter,00:20,"Well, one of them are lying or no. Well, what are all the rules?",Interrogation,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
118,hunter,00:26,What do we know is as a whole right now?,Interrogation,Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
120,hunter,00:30,Wait and number.,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
123,hunter,00:35,So how many villages and how many wear wolves? Two of you?,Interrogation,Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
125,hunter,00:38,"2, 2,",No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
127,hunter,00:40,"2, 2. Robber, troublemaker, seer?",Interrogation,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
132,hunter,00:49,"No, it is important.",Defense,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
136,hunter,00:54,So one of us three is lying.,Accusation,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
136,hunter,00:54,So one of us three is lying.,Evidence,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
138,hunter,00:59,"One of us, four, actually one of us four could also not be lying.",Accusation,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
140,hunter,01:06,I am one of the cards that messes up other people. So robber or troublemaker.,Identity Declaration,Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
140,hunter,01:06,I am one of the cards that messes up other people. So robber or troublemaker.,Defense,Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
146,hunter,01:22,Then Zack's lying.,Accusation,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
148,hunter,01:24,"But if Zack's trouble - because you could be a werewolf. But if Zack's troublemaker and you say you're the robber and I'm the robber, then you're lying.",Accusation,Ego4D,28,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
150,hunter,01:30,But you both could be telling the truth and I could be lying.,Accusation,Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
152,hunter,01:37,"Oh, big. I forgot about that part.",No Strategy,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
154,hunter,01:42,Yeah.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
162,hunter,02:05,It was a test run.,No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
170,hunter,02:24,You can narrate this. You could narrate anything.,No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
172,hunter,02:36,You are a mobile app designer.,No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
174,hunter,02:40,You could move you one of these in your spare time. Yeah.,No Strategy,Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
176,hunter,02:48,Nice.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
189,hunter,03:34,Seanson Johansson.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
191,hunter,03:46,I don't think...,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
193,hunter,03:50,No you're good.,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
198,hunter,03:58,Everyone wake up.,Call for Action,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
201,hunter,04:15,I just reminded me of the Eric Andre show and he's on the subway with all the stuff taped to his body.,No Strategy,Ego4D,22,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
202,hunter,04:21,I talk about...,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
204,hunter,04:29,"Well, show me dis man's balls.",No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
206,hunter,04:39,Okay. So at what point do we just wait for my friend to stop texting and then go.,No Strategy,Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
214,hunter,04:56,"If you pause it, can you go back to settings or does it force you?",No Strategy,Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
216,hunter,05:01,I don't...,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
221,hunter,05:12,Damn.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
225,hunter,05:17,"Well, do we?",Interrogation,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
227,hunter,05:31,"So we only do one, right?",Interrogation,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
229,hunter,05:35,It's one night. That's the whole thing.,No Strategy,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
231,hunter,05:42,"Yes. I think. If no player receives more than one vote, no one dies.",No Strategy,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
232,hunter,05:46,So we could just all vote for ourselves or each other?,Interrogation,Ego4D,11,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
232,hunter,05:46,So we could just all vote for ourselves or each other?,Call for Action,Ego4D,11,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
234,hunter,05:51,You have to. Then we just don't have...,No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
13,jacob,01:02,What a night.,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
17,jacob,01:06,It's fine. We're good. We're good.,No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
19,jacob,01:10,"Yeah. I'm wondering how this is going to work because the AC is going, but it's a pretty quiet room. You know what I'm saying?",No Strategy,Ego4D,25,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
23,jacob,01:25,That might be good.,No Strategy,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
31,jacob,01:33,I think we're going for it.,No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
36,jacob,01:45,"Are we supposed to decide things right now? ""Everyone wake up."" I assume... Do we vote somebody?",No Strategy,Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
40,jacob,01:58,"Card sliding was the troublemaker, right?",Interrogation,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
42,jacob,02:06,Remember? I remember it being the troublemaker.,No Strategy,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
45,jacob,02:14,Okay. Okay.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
48,jacob,02:19,"With one werewolf, right?",Interrogation,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
53,jacob,02:25,"So, there could be two. There could be one. There could be none.",No Strategy,Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
57,jacob,02:35,Interesting.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
59,jacob,02:37,"Well, I'll go ahead and begin.",No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
60,jacob,02:40,I have the conscience of a newborn baby. Absolute infant because I'm a villager.,Identity Declaration,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
61,jacob,02:46,"So, I get to sit and relax and watch all this play out. I love these games so much because I get a card like this every single time.",No Strategy,Ego4D,29,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
63,jacob,02:55,And I just get to sit here and watch stuff happen to me. That's good.,No Strategy,Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
72,jacob,03:20,"I don't know what any of that means. All of what you just said,",No Strategy,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
74,jacob,03:24,Do you typically relax when you lie to people? You take a nice calm...,Accusation,Ego4D,14,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
75,jacob,03:31,Position like that.,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
82,jacob,03:44,What?,Interrogation,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
84,jacob,03:49,I'm going to count down from three and then you have to tell me what you are.,Call for Action,Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
85,jacob,03:51,"1, 2, 3.",No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
88,jacob,03:58,Yeah? Okay.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
89,jacob,04:01,Do it.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
91,jacob,04:02,Count?,Interrogation,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
94,jacob,04:06,Joe?,Interrogation,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
96,jacob,04:08,I couldn't even ask.,No Strategy,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
97,jacob,04:11,Johnson. What are you?,Interrogation,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
99,jacob,04:12,Robber? Okay. I like the honesty.,Interrogation,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
101,jacob,04:17,And then blatant. Man's a werewolf.,Accusation,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
102,jacob,04:23,"You're like, well, I can't claim to be a billionaire because that's just going too far. And, how many villagers are in this pile?",Interrogation,Ego4D,24,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
104,jacob,04:31,Oh.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
106,jacob,00:00,I'm not lying.,Defense,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
108,jacob,00:01,Look into my eyes.,Call for Action,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
114,jacob,00:16,"Zack, what is your role?",Interrogation,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
116,jacob,00:19,Okay.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
121,jacob,00:31,"So one of each, except",No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
124,jacob,00:36,Two of each.,Evidence,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
128,jacob,00:43,Yes.,No Strategy,Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
133,jacob,00:51,"Okay. Well, you know.",No Strategy,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
135,jacob,00:54,You know.,No Strategy,Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
139,jacob,01:03,So I'm a villager. You say you are?,Identity Declaration,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
139,jacob,01:03,So I'm a villager. You say you are?,Interrogation,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
144,jacob,01:15,So you say robber or troublemaker is your little...,No Strategy,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
149,jacob,01:29,To be fair...,No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
153,jacob,01:40,"Oh, cause you looked at your card after you weren't supposed to, right?",Accusation,Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
153,jacob,01:40,"Oh, cause you looked at your card after you weren't supposed to, right?",Interrogation,Ego4D,13,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
155,jacob,01:44,"Okay, I'm sorry. Actually there's a rule. We're good.",No Strategy,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
156,jacob,01:48,We're good boys. We're good boys. We're all right.,No Strategy,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
158,jacob,01:52,"There's no conflict with this game. It's just snacks and boots. So we're not supposed to be looking at our card, so whoopsies.",No Strategy,Ego4D,23,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
160,jacob,02:01,We'll figure that one out next round. We'll work on that one.,No Strategy,Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
163,jacob,02:06,Has it been five minutes?,No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
165,jacob,02:09,Is that what you set the timer for? Five?,No Strategy,Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
169,jacob,02:19,"Everyone, go to sleep.",Call for Action,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
171,jacob,02:26,I appreciate that. It's a little visceral sound.,No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
173,jacob,02:39,"Yeah, I am.",No Strategy,Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
175,jacob,02:42,Do you know how dignifying that is to tell people I make mobile games for eight year olds.,No Strategy,Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
177,jacob,02:49,"I literally have to take into consideration the size of thumbs and how, when I test stuff, my thumb is two times the size of basically my entire market share of the clientele. Seriously. Wow. That's my thumb.",No Strategy,Ego4D,38,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
179,jacob,03:09,"No, it's a genetic thing. It's a genetic thing. W.",No Strategy,Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
181,jacob,03:15,"Sean, you seen Scarlet Johansson's thumbs?",No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
183,jacob,03:20,"So it's a legitimate, it's a genetic thing.",No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
185,jacob,03:24,But she's got it too.,No Strategy,Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
188,jacob,03:28,Take off your ball cap. Johansson is in a room with us. She could be anyone of us.,No Strategy,Ego4D,18,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
190,jacob,03:42,"My phone dinged. It could be from the thing, but I shouldn't look at it.",No Strategy,Ego4D,15,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
195,jacob,03:53,"Hey guys, have you been woke yet?",Interrogation,Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
197,jacob,03:57,Have you woke yet?,Interrogation,Ego4D,4,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
200,jacob,04:02,"Am I woke? Do you think all these sensors can tell when I make like little burps?Little quiet, little silent ones that I hope no one pays attention to.",Interrogation,Ego4D,29,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
203,jacob,04:22,Drink from me. My body is your communion.,No Strategy,Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
205,jacob,04:32,It's going in a public database.,No Strategy,Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,hunter,Villager,None,Werewolves
